time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6
2.125000,-0.025884,-1.449411,1.724705,-1.287058,1.468352,-0.263532,-0.723570,0.482380,-0.241190,0.361785,-0.325607,-0.844165,-0.523852,0.349235,-0.174617,0.261926,-0.235733,-0.611160
2.150000,-0.044124,-1.437251,1.718625,-1.277938,1.460144,-0.284811,-0.735075,0.490050,-0.245025,0.367537,-0.330784,-0.857587,-0.396000,0.264000,-0.132000,0.198000,-0.178200,-0.462000
2.175000,-0.062611,-1.424926,1.712463,-1.268695,1.451825,-0.306379,-0.743348,0.495565,-0.247783,0.371674,-0.334507,-0.867240,-0.265481,0.176988,-0.088494,0.132741,-0.119467,-0.309728
2.200000,-0.081264,-1.412491,1.706245,-1.259368,1.443431,-0.328141,-0.748334,0.498890,-0.249445,0.374167,-0.336750,-0.873057,-0.133185,0.088790,-0.044395,0.066593,-0.059933,-0.155383
2.225000,-0.100000,-1.400000,1.700000,-1.250000,1.435000,-0.350000,-0.750000,0.500000,-0.250000,0.375000,-0.337500,-0.875000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000
2.250000,-0.118736,-1.387509,1.693755,-1.240632,1.426569,-0.371859,-0.748334,0.498890,-0.249445,0.374167,-0.336750,-0.873057,0.133185,-0.088790,0.044395,-0.066593,0.059933,0.155383
2.275000,-0.137389,-1.375074,1.687537,-1.231305,1.418175,-0.393621,-0.743348,0.495565,-0.247783,0.371674,-0.334507,-0.867240,0.265481,-0.176988,0.088494,-0.132741,0.119467,0.309728
2.300000,-0.155876,-1.362749,1.681375,-1.222062,1.409856,-0.415189,-0.735075,0.490050,-0.245025,0.367537,-0.330784,-0.857587,0.396000,-0.264000,0.132000,-0.198000,0.178200,0.462000
2.325000,-0.174116,-1.350589,1.675295,-1.212942,1.401648,-0.436468,-0.723570,0.482380,-0.241190,0.361785,-0.325607,-0.844165,0.523852,-0.349235,0.174617,-0.261926,0.235733,0.611160
2.350000,-0.192028,-1.338648,1.669324,-1.203986,1.393587,-0.457366,-0.708912,0.472608,-0.236304,0.354456,-0.319010,-0.827064,0.648148,-0.432099,0.216049,-0.324074,0.291667,0.756173
2.375000,-0.209536,-1.326976,1.663488,-1.195232,1.385709,-0.477792,-0.691200,0.460800,-0.230400,0.345600,-0.311040,-0.806400,0.768000,-0.512000,0.256000,-0.384000,0.345600,0.896000
2.400000,-0.226564,-1.315624,1.657812,-1.186718,1.378046,-0.497658,-0.670556,0.447038,-0.223519,0.335278,-0.301750,-0.782316,0.882519,-0.588346,0.294173,-0.441259,0.397133,1.029605
2.425000,-0.243041,-1.304640,1.652320,-1.178480,1.370632,-0.516881,-0.647126,0.431417,-0.215709,0.323563,-0.291207,-0.754980,0.990815,-0.660543,0.330272,-0.495407,0.445867,1.155951
2.450000,-0.258898,-1.294068,1.647034,-1.170551,1.363496,-0.535381,-0.621075,0.414050,-0.207025,0.310537,-0.279484,-0.724587,1.092000,-0.728000,0.364000,-0.546000,0.491400,1.274000
2.475000,-0.274074,-1.283951,1.641975,-1.162963,1.356667,-0.553086,-0.592593,0.395062,-0.197531,0.296296,-0.266667,-0.691358,1.185185,-0.790123,0.395062,-0.592593,0.533333,1.382716
2.500000,-0.288509,-1.274327,1.637164,-1.155745,1.350171,-0.569928,-0.561890,0.374593,-0.187297,0.280945,-0.252850,-0.655538,1.269481,-0.846321,0.423160,-0.634741,0.571267,1.481062
